AK-47 | Crane Flight,The Dead Hand Collection,0,1,Classified
Five-SeveN | Forest Night,The Train Collection,0.06,0.8,Consumer Grade
Five-SeveN | Kami,The Winter Offensive Collection,0,0.3,Mil-Spec Grade
Five-SeveN | Neon Kimono,The Rising Sun Collection,0,0.8,Restricted
Five-SeveN | Midnight Paintover,The Overpass 2024 Collection,0,0.5,Industrial Grade
Five-SeveN | Hot Shot,The Cache Collection,0,1,Industrial Grade
Five-SeveN | Jungle,The Aztec Collection,0.06,0.8,Consumer Grade
Five-SeveN | Nitro,The Chop Shop Collection,0.06,0.8,Mil-Spec Grade
Five-SeveN | Contractor,The Mirage Collection,0.06,0.8,Consumer Grade
Five-SeveN | Candy Apple,The Assault Collection,0,0.3,Industrial Grade
Five-SeveN | Sky Blue,The Ascent Collection,0,0.6,Industrial Grade
Five-SeveN | Fraise Crane,The Harlequin Collection,0,0.65,Mil-Spec Grade
Five-SeveN | Autumn Thicket,The Radiant Collection,0,0.636986,Consumer Grade
Five-SeveN | Withered Vine,The 2021 Dust 2 Collection,0,0.5,Industrial Grade
Five-SeveN | Orange Peel,The Dust 2 Collection,0.06,0.8,Industrial Grade
G3SG1 | Ancient Ritual,The Ancient Collection,0,0.76,Industrial Grade
G3SG1 | Murky,The Vanguard Collection,0,0.25,Mil-Spec Grade
G3SG1 | Violet Murano,The Canals Collection,0,0.5,Mil-Spec Grade
G3SG1 | Chronos,The Gods and Monsters Collection,0,0.4,Restricted
G3SG1 | Black Sand,The Shattered Web Collection,0,0.8,Mil-Spec Grade
G3SG1 | The Executioner,The Revolver Case Collection,0.14,0.85,Classified
G3SG1 | Dream Glade,The Dreams & Nightmares Collection,0,1,Restricted
G3SG1 | Keeping Tabs,The Operation Riptide Collection,0,0.7,Mil-Spec Grade
G3SG1 | High Seas,The Horizon Collection,0,0.7,Restricted
G3SG1 | Hunter,The Spectrum 2 Collection,0,1,Mil-Spec Grade
G3SG1 | Digital Mesh,The Operation Broken Fang Collection,0,0.8,Mil-Spec Grade
G3SG1 | Flux,The Shadow Collection,0,0.9,Classified
G3SG1 | Scavenger,The Danger Zone Collection,0,0.65,Restricted
G3SG1 | Ventilator,The Gamma 2 Collection,0,0.45,Mil-Spec Grade
G3SG1 | Stinger,The Glove Collection,0,0.7,Restricted
G3SG1 | Polar Camo,The Train Collection,0.06,0.8,Consumer Grade
G3SG1 | Arctic Camo,The Office Collection,0.06,0.8,Industrial Grade
G3SG1 | Demeter,The Bravo Collection,0.06,0.8,Mil-Spec Grade
G3SG1 | Desert Storm,The Dust 2 Collection,0.06,0.8,Consumer Grade
G3SG1 | Orange Kimono,The Rising Sun Collection,0,0.8,Consumer Grade
G3SG1 | VariCamo,The Safehouse Collection,0,0.6,Industrial Grade
G3SG1 | Green Apple,The Bank Collection,0,0.3,Industrial Grade
G3SG1 | Contractor,The Baggage Collection,0.06,0.8,Consumer Grade
G3SG1 | Red Jasper,The Radiant Collection,0,0.637288,Consumer Grade
G3SG1 | Orange Crash,The Chroma 3 Collection,0,0.52,Mil-Spec Grade
G3SG1 | Green Cell,The Boreal Collection,0,0.65,Consumer Grade
G3SG1 | Safari Mesh,The Mirage Collection,0.06,0.8,Consumer Grade
G3SG1 | New Roots,The 2021 Dust 2 Collection,0,0.55,Mil-Spec Grade
G3SG1 | Jungle Dashed,The Lake Collection,0.06,0.8,Consumer Grade
G3SG1 | Azure Zebra,The eSports 2013 Winter Collection,0,0.28,Mil-Spec Grade
Galil AR | Amber Fade,The 2021 Dust 2 Collection,0,0.4,Mil-Spec Grade
Galil AR | Aqua Terrace,The Rising Sun Collection,0,0.7,Mil-Spec Grade
Galil AR | Blue Titanium,The eSports 2013 Winter Collection,0,0.04,Mil-Spec Grade
Galil AR | Rainbow Spoon,The Sport & Field Collection,0,0.554422,Classified
Galil AR | Cerberus,The Cache Collection,0,0.9,Restricted
Galil AR | Chatterbox,The Chroma Collection,0.35,0.85,Covert
Galil AR | Black Sand,The Glove Collection,0,1,Mil-Spec Grade
Galil AR | Sugar Rush,The Operation Hydra Collection,0,0.55,Classified
Galil AR | Chromatic Aberration,The Snakebite Collection,0,1,Classified
Galil AR | Destroyer,The Recoil Collection,0,0.7,Mil-Spec Grade
Galil AR | Eco,The Chroma 2 Collection,0.1,0.85,Classified
Galil AR | Rocket Pop,The Falchion Collection,0,1,Mil-Spec Grade
Galil AR | NV,The Graphic Design Collection,0,0.47,Industrial Grade
Galil AR | Sandstorm,The Winter Offensive Collection,0.1,0.6,Mil-Spec Grade
Galil AR | Control,The Fever Collection,0,0.798995,Restricted
Galil AR | Galigator,The Dead Hand Collection,0,1,Restricted
Galil AR | Stone Cold,The Shadow Collection,0,0.9,Restricted
Galil AR | Connexion,The Fracture Collection,0,0.8,Restricted
Galil AR | Vandal,The Operation Broken Fang Collection,0,1,Mil-Spec Grade
Galil AR | Firefight,The Chroma 3 Collection,0,1,Restricted
Galil AR | Shattered,The Bravo Collection,0.06,0.8,Mil-Spec Grade
Galil AR | Orange DDPAT,The eSports 2013 Collection,0.06,0.8,Restricted
Galil AR | Winter Forest,The Office Collection,0.06,0.8,Industrial Grade
Galil AR | Kami,The Huntsman Collection,0,0.6,Mil-Spec Grade
Galil AR | Signal,The Danger Zone Collection,0,0.5,Restricted
Galil AR | Cold Fusion,The 2018 Nuke Collection,0,0.83,Industrial Grade
Galil AR | Dusk Ruins,The Ancient Collection,0,0.6,Mil-Spec Grade
Galil AR | VariCamo,The Safehouse Collection,0,0.6,Industrial Grade
Galil AR | Urban Rubble,The Chop Shop Collection,0,0.5,Industrial Grade
Galil AR | Sky Mandala,The Harlequin Collection,0,0.7,Mil-Spec Grade
Galil AR | Acid Dart,The Boreal Collection,0,0.6,Industrial Grade
Galil AR | Green Apple,The Train 2025 Collection,0,0.3,Industrial Grade
Galil AR | Tuxedo,The Bank Collection,0,0.8,Mil-Spec Grade
Galil AR | Tornado,The Norse Collection,0.06,0.8,Consumer Grade
Galil AR | Grey Smoke,The Ascent Collection,0,0.6,Consumer Grade
Galil AR | O-Ranger,The Radiant Collection,0,0.75,Industrial Grade
Galil AR | Robin's Egg,The Ascent Collection,0,0.6,Industrial Grade
Galil AR | Akoben,The Prisma Collection,0,0.75,Mil-Spec Grade
Galil AR | CAUTION!,The 2021 Vertigo Collection,0,0.55,Restricted
Galil AR | Crimson Tsunami,The Spectrum Collection,0,0.55,Restricted
Galil AR | Hunting Blind,The Mirage Collection,0,0.6,Consumer Grade
Galil AR | Metallic Squeezer,The Overpass 2024 Collection,0,0.6,Mil-Spec Grade
Galil AR | Phoenix Blacklight,The Havoc Collection,0,0.7,Restricted
Galil AR | Sage Spray,The Lake Collection,0.06,0.8,Consumer Grade
Glock-18 | Fade,The Assault Collection,0,0.08,Restricted
Glock-18 | Moonrise,The Clutch Collection,0,0.65,Restricted
Glock-18 | High Beam,The 2018 Inferno Collection,0,0.08,Industrial Grade
Glock-18 | Twilight Galaxy,The Chop Shop Collection,0,0.2,Classified
Glock-18 | Steel Disruption,The eSports 2014 Summer Collection,0,0.2,Restricted
Glock-18 | Dragon Tattoo,The Arms Deal Collection,0,0.08,Restricted
Glock-18 | Gamma Doppler,The 2021 Train Collection,0,0.5,Covert
Glock-18 | Gamma Doppler,The 2021 Train Collection,0,0.5,Covert
Glock-18 | Gamma Doppler,The 2021 Train Collection,0,0.5,Covert
Glock-18 | Gamma Doppler,The 2021 Train Collection,0,0.5,Covert
Glock-18 | Gamma Doppler,The 2021 Train Collection,0,0.5,Covert
Glock-18 | Reactor,The Cache Collection,0,1,Mil-Spec Grade
Glock-18 | Nuclear Garden,The 2018 Nuke Collection,0,0.7,Restricted
Glock-18 | Brass,The Dust Collection,0,1,Restricted
Glock-18 | Bunsen Burner,The Falchion Collection,0,0.8,Mil-Spec Grade
Glock-18 | Grinder,The Vanguard Collection,0.02,0.25,Restricted
Glock-18 | Ironwork,The Glove Collection,0,1,Mil-Spec Grade
Glock-18 | Water Elemental,The Breakout Collection,0,0.7,Classified
Glock-18 | Oxide Blaze,The Danger Zone Collection,0,0.85,Mil-Spec Grade
Glock-18 | Bullet Queen,The Prisma 2 Collection,0,1,Covert
Glock-18 | Weasel,The Gamma 2 Collection,0,1,Restricted
Glock-18 | Catacombs,The Chroma Collection,0,0.5,Mil-Spec Grade
Glock-18 | Vogue,The Fracture Collection,0,0.75,Classified
Glock-18 | Sacrifice,The CS20 Collection,0,1,Mil-Spec Grade
Glock-18 | Off World,The Spectrum 2 Collection,0,1,Mil-Spec Grade
Glock-18 | Umbral Rabbit,The Revolution Collection,0,0.75,Restricted
Glock-18 | Neo-Noir,The Operation Broken Fang Collection,0,1,Covert
Glock-18 | Ramese's Reach,The Anubis Collection,0,1,Restricted
Glock-18 | Snack Attack,The Operation Riptide Collection,0,1,Classified
Glock-18 | Wasteland Rebel,The Gamma Collection,0,0.54,Covert
Glock-18 | Franklin,The Havoc Collection,0,0.4,Restricted
Glock-18 | Block-18,The Kilowatt Collection,0,0.671875,Restricted
Glock-18 | Gold Toof,The Gallery Collection,0,0.730496,Covert
Glock-18 | Fully Tuned,The Dead Hand Collection,0,1,Covert
Glock-18 | Mirror Mosaic,The Genesis Collection,0,1,Classified
Glock-18 | Shinobu,The Fever Collection,0,1,Classified
Glock-18 | Green Line,The Train 2025 Collection,0,1,Mil-Spec Grade
Glock-18 | Royal Legion,The Wildfire Collection,0,1,Restricted
Glock-18 | Wraiths,The Shadow Collection,0,0.8,Mil-Spec Grade
Glock-18 | Winterized,The Recoil Collection,0,1,Mil-Spec Grade
Glock-18 | Clear Polymer,The Snakebite Collection,0,1,Mil-Spec Grade
Glock-18 | Warhawk,The Horizon Collection,0,1,Mil-Spec Grade
Glock-18 | AXIA,The Sport & Field Collection,0,0.7,Classified
Glock-18 | Trace Lock,The Achroma Collection,0,0.7,Restricted
Glock-18 | Blue Fissure,The Arms Deal 3 Collection,0.06,0.58,Mil-Spec Grade
Glock-18 | Pink DDPAT,The 2021 Mirage Collection,0.06,0.8,Restricted
Glock-18 | Synth Leaf,The St. Marc Collection,0,0.7,Restricted
Glock-18 | Death Rattle,The Bank Collection,0.08,0.5,Industrial Grade
Glock-18 | Teal Graf,The Overpass 2024 Collection,0,0.5,Mil-Spec Grade
Glock-18 | Ocean Topo,The Ascent Collection,0,0.6,Industrial Grade
Glock-18 | Night,The Overpass Collection,0.06,0.8,Industrial Grade
Glock-18 | Groundwater,The Mirage Collection,0.06,0.8,Industrial Grade
Glock-18 | Candy Apple,The Italy Collection,0,0.3,Mil-Spec Grade
Glock-18 | Sand Dune,The Alpha Collection,0.06,0.8,Industrial Grade
Glock-18 | Coral Bloom,The Radiant Collection,0,0.752941,Mil-Spec Grade
Glock-18 | Red Tire,The 2021 Vertigo Collection,0,0.55,Industrial Grade
Glock-18 | Glockingbird,The Boreal Collection,0,0.67,Restricted
P2000 | Amber Fade,The Dust 2 Collection,0,0.4,Restricted
P2000 | Space Race,The 2021 Train Collection,0,0.6,Restricted
P2000 | Panther Camo,The Ancient Collection,0,0.5,Industrial Grade
P2000 | Chainmail,The Cobblestone Collection,0,0.22,Mil-Spec Grade
P2000 | Dispatch,The Control Collection,0,0.65,Mil-Spec Grade
P2000 | Ocean Foam,The Bravo Collection,0,0.12,Classified
P2000 | Imperial,The Revolver Case Collection,0,0.2,Mil-Spec Grade
P2000 | Scorpion,The Dust Collection,0,0.08,Restricted
P2000 | Silver,The Office Collection,0,0.08,Mil-Spec Grade
P2000 | Acid Etched,The Prisma 2 Collection,0,1,Restricted
P2000 | Handgun,The Falchion Collection,0,1,Restricted
P2000 | Gnarled,The Fracture Collection,0,1,Mil-Spec Grade
P2000 | Corticera,The eSports 2014 Summer Collection,0.06,0.3,Classified
P2000 | Coach Class,The Baggage Collection,0,1,Industrial Grade
P2000 | Wicked Sick,The Revolution Collection,0,1,Classified
P2000 | Fire Elemental,The Vanguard Collection,0,0.6,Covert
P2000 | Woodsman,The Operation Hydra Collection,0,0.8,Restricted
P2000 | Ivory,The Breakout Collection,0,1,Mil-Spec Grade
P2000 | Obsidian,The Shattered Web Collection,0,1,Restricted
P2000 | Pulse,The Huntsman Collection,0,0.6,Mil-Spec Grade
P2000 | Urban Hazard,The Clutch Collection,0,1,Mil-Spec Grade
P2000 | Lifted Spirits,The Dreams & Nightmares Collection,0,1,Mil-Spec Grade
P2000 | Turf,The Glove Collection,0,1,Mil-Spec Grade
P2000 | Imperial Dragon,The Gamma Collection,0,0.63,Classified
P2000 | Coral Halftone,The Graphic Design Collection,0,0.52,Industrial Grade
P2000 | Granite Marbleized,The Italy Collection,0.06,0.8,Industrial Grade
P2000 | Oceanic,The Chroma 3 Collection,0,0.6,Mil-Spec Grade
P2000 | Red FragCam,The Arms Deal 3 Collection,0,0.7,Mil-Spec Grade
P2000 | Red Wing,The Genesis Collection,0,1,Mil-Spec Grade
P2000 | Sure Grip,The Fever Collection,0,0.9,Mil-Spec Grade
P2000 | Grassland,The Overpass Collection,0.06,0.8,Industrial Grade
P2000 | Grip Tape,The Achroma Collection,0,0.75,Mil-Spec Grade
P2000 | Marsh,The Boreal Collection,0,0.6,Industrial Grade
P2000 | Pathfinder,The Gods and Monsters Collection,0,0.35,Industrial Grade
P2000 | Grassland Leaves,The Militia Collection,0.06,0.8,Industrial Grade
P2000 | Royal Baroque,The Ascent Collection,0,0.6,Mil-Spec Grade
M249 | Aztec,The CS20 Collection,0,0.75,Restricted
M249 | Magma,The Winter Offensive Collection,0,0.7,Mil-Spec Grade
M249 | Deep Relief,The Operation Broken Fang Collection,0,1,Mil-Spec Grade
M249 | Downtown,The Recoil Collection,0,0.65,Restricted
M249 | Submerged,The Anubis Collection,0.02,0.8,Consumer Grade
M249 | System Lock,The Chroma Collection,0,0.8,Mil-Spec Grade
M249 | Spectre,The Chroma 3 Collection,0,0.5,Mil-Spec Grade
M249 | O.S.I.P.R.,The Snakebite Collection,0,0.7,Mil-Spec Grade
M249 | Nebula Crusader,The Shadow Collection,0,1,Restricted
M249 | Warbird,The Shattered Web Collection,0.05,0.65,Mil-Spec Grade
M249 | Spectrogram,The Graphic Design Collection,0,0.5,Industrial Grade
M249 | Blizzard Marbleized,The Office Collection,0.06,0.8,Industrial Grade
M249 | Jungle DDPAT,The Alpha Collection,0.06,0.8,Consumer Grade
M249 | Shipping Forecast,The Gods and Monsters Collection,0,0.5,Industrial Grade
M249 | Sleet,The Achroma Collection,0,0.7,Consumer Grade
M249 | Sage Camo,The Boreal Collection,0,0.6,Consumer Grade
M249 | Bock Blocks,The Dead Hand Collection,0,1,Mil-Spec Grade
M249 | Hypnosis,The Gallery Collection,0,1,Mil-Spec Grade
M249 | Jungle,The St. Marc Collection,0.06,0.8,Consumer Grade
M249 | Impact Drill,The Chop Shop Collection,0,1,Consumer Grade
M249 | Emerald Poison Dart,The Spectrum Collection,0,0.45,Restricted
M249 | Gator Mesh,The Safehouse Collection,0,0.6,Industrial Grade
M249 | Humidor,The 2021 Mirage Collection,0,0.5,Mil-Spec Grade
M249 | Midnight Palm,The 2021 Dust 2 Collection,0,0.5,Industrial Grade
M249 | Contrast Spray,The Overpass Collection,0.06,0.8,Consumer Grade
M249 | Predator,The Havoc Collection,0.06,0.8,Consumer Grade
M4A4 | Mainframe,The 2018 Nuke Collection,0,0.5,Industrial Grade
M4A4 | Daybreak,The Rising Sun Collection,0,0.6,Restricted
M4A4 | Bullet Rain,The eSports 2014 Summer Collection,0.02,0.46,Covert
M4A4 | Global Offensive,The Control Collection,0,0.7,Mil-Spec Grade
M4A4 | Asiimov,The Winter Offensive Collection,0.18,1,Covert
M4A4 | 龍王 (Dragon King),The Chroma Collection,0,0.75,Classified
M4A4 | Cyber Security,The Operation Broken Fang Collection,0,0.98,Classified
M4A4 | Desolate Space,The Gamma Collection,0,1,Classified
M4A4 | Poly Mag,The Recoil Collection,0,1,Mil-Spec Grade
M4A4 | Evil Daimyo,The Falchion Collection,0,0.52,Restricted
M4A4 | Griffin,The Vanguard Collection,0,0.8,Restricted
M4A4 | Hellfire,The Operation Hydra Collection,0,0.5,Classified
M4A4 | In Living Color,The Snakebite Collection,0,0.79,Covert
M4A4 | Neo-Noir,The Clutch Collection,0,0.9,Covert
M4A4 | Tooth Fairy,The Fracture Collection,0,0.73,Classified
M4A4 | Temukau,The Revolution Collection,0,0.8,Covert
M4A4 | Hellish,The Train 2025 Collection,0,1,Classified
M4A4 | Poseidon,The Gods and Monsters Collection,0,0.33,Classified
M4A4 | Desert-Strike,The Huntsman Collection,0,0.7,Covert
M4A4 | X-Ray,The eSports 2013 Winter Collection,0,0.3,Covert
M4A4 | Spider Lily,The Operation Riptide Collection,0,1,Restricted
M4A4 | Magnesium,The Danger Zone Collection,0,1,Mil-Spec Grade
M4A4 | The Coalition,The 2021 Train Collection,0,1,Covert
M4A4 | The Emperor,The Prisma Collection,0,0.8,Covert
M4A4 | The Battlestar,The Wildfire Collection,0,0.64,Covert
M4A4 | Eye of Horus,The Anubis Collection,0,0.7,Covert
M4A4 | Royal Paladin,The Revolver Case Collection,0,0.8,Covert
M4A4 | Buzz Kill,The Glove Collection,0,0.7,Covert
M4A4 | Steel Work,The Radiant Collection,0,0.7,Industrial Grade
M4A4 | Urban DDPAT,The Train Collection,0.06,0.8,Industrial Grade
M4A4 | Red DDPAT,The 2021 Dust 2 Collection,0,0.5,Restricted
M4A4 | Desert Storm,The Dust Collection,0.06,0.8,Industrial Grade
M4A4 | Modern Hunter,The Militia Collection,0.06,0.8,Restricted
M4A4 | Converter,The 2018 Inferno Collection,0,0.4,Mil-Spec Grade
M4A4 | Jungle Tiger,The Aztec Collection,0.06,0.8,Industrial Grade
M4A4 | Aeolian Dark,The Achroma Collection,0,0.65,Industrial Grade
M4A4 | Naval Shred Camo,The Ascent Collection,0,0.6,Industrial Grade
M4A4 | Turbine,The Gallery Collection,0,0.85,Restricted
M4A4 | Choppa,The Fever Collection,0,1,Mil-Spec Grade
M4A4 | Full Throttle,The Genesis Collection,0,1,Covert
M4A4 | Etch Lord,The Kilowatt Collection,0,1,Restricted
M4A4 | Zubastick,The Dead Hand Collection,0,1,Mil-Spec Grade
M4A1-S | Fade,The Sport & Field Collection,0,0.08,Covert
M4A1-S | Moss Quartz,The Norse Collection,0,0.5,Industrial Grade
M4A1-S | Atomic Alloy,The Huntsman Collection,0,0.9,Classified
M4A1-S | Blue Phosphor,The Control Collection,0,0.08,Classified
M4A1-S | Knight,The Cobblestone Collection,0,0.1,Classified
M4A1-S | Dark Water,The Arms Deal Collection,0.1,0.26,Restricted
M4A1-S | Hot Rod,The Chop Shop Collection,0,0.08,Classified
M4A1-S | Basilisk,The Vanguard Collection,0,0.68,Restricted
M4A1-S | Guardian,The Winter Offensive Collection,0,0.5,Classified
M4A1-S | Master Piece,The Overpass Collection,0,1,Classified
M4A1-S | Flashback,The Glove Collection,0,1,Restricted
M4A1-S | Hyper Beast,The Chroma 2 Collection,0,1,Covert
M4A1-S | Welcome to the Jungle,The Ancient Collection,0,1,Covert
M4A1-S | Player Two,The Prisma 2 Collection,0,0.84,Covert
M4A1-S | Cyrex,The Breakout Collection,0,0.5,Covert
M4A1-S | Emphorosaur-S,The Revolution Collection,0,0.8,Restricted
M4A1-S | Briefing,The Operation Hydra Collection,0,0.8,Mil-Spec Grade
M4A1-S | Nightmare,The Horizon Collection,0,1,Classified
M4A1-S | Printstream,The Operation Broken Fang Collection,0,0.8,Covert
M4A1-S | Chantico's Fire,The Chroma 3 Collection,0,0.99,Covert
M4A1-S | Stratosphere,The Ascent Collection,0,0.8,Classified
M4A1-S | Decimator,The Spectrum Collection,0,0.85,Classified
M4A1-S | Mecha Industries,The Gamma Collection,0,0.8,Covert
M4A1-S | Leaded Glass,The Spectrum 2 Collection,0,0.7,Classified
M4A1-S | Imminent Danger,The 2021 Vertigo Collection,0,0.8,Covert
M4A1-S | Night Terror,The Dreams & Nightmares Collection,0,0.7,Restricted
M4A1-S | Mud-Spec,The Anubis Collection,0,0.73,Industrial Grade
M4A1-S | Control Panel,The 2018 Nuke Collection,0,1,Classified
M4A1-S | Golden Coil,The Shadow Collection,0,1,Covert
M4A1-S | Glitched Paint,The Radiant Collection,0,0.67,Restricted
M4A1-S | Boreal Forest,The Italy Collection,0.06,0.8,Industrial Grade
M4A1-S | Rose Hex,The Radiant Collection,0,0.5,Mil-Spec Grade
M4A1-S | Icarus Fell,The Gods and Monsters Collection,0,0.1,Restricted
M4A1-S | Bright Water,The Bravo Collection,0.1,0.22,Restricted
M4A1-S | Wash me plz,The Overpass 2024 Collection,0,0.58,Industrial Grade
M4A1-S | Blood Tiger,The Arms Deal 2 Collection,0,0.3,Mil-Spec Grade
M4A1-S | VariCamo,The Dust 2 Collection,0,0.6,Mil-Spec Grade
M4A1-S | Party Animal,The Harlequin Collection,0,0.6,Classified
M4A1-S | Black Lotus,The Kilowatt Collection,0,0.7,Classified
M4A1-S | Electrum,The Dead Hand Collection,0,1,Restricted
M4A1-S | Liquidation,The Genesis Collection,0,1,Restricted
M4A1-S | Vaporwave,The Gallery Collection,0,0.597321,Covert
M4A1-S | Nitro,The Safehouse Collection,0.06,0.8,Restricted
M4A1-S | Solitude,Limited Edition Item,0,0.7,Classified
M4A1-S | Fizzy POP,The 2021 Train Collection,0,0.57,Mil-Spec Grade
M4A4 | Tornado,The Inferno Collection,0.06,0.8,Industrial Grade
M4A4 | Polysoup,The Graphic Design Collection,0,0.64,Restricted
M4A4 | Dark Blossom,The St. Marc Collection,0,0.5,Industrial Grade
M4A4 | Radiation Hazard,The Nuke Collection,0.06,0.8,Mil-Spec Grade
M4A4 | Zirka,The Bravo Collection,0.06,0.42,Restricted
M4A4 | Faded Zebra,The eSports 2013 Collection,0.06,0.8,Mil-Spec Grade
M4A4 | Sheet Lightning,The Boreal Collection,0,0.75,Restricted
MAC-10 | Fade,The Chop Shop Collection,0,0.08,Mil-Spec Grade
MAC-10 | Amber Fade,The Mirage Collection,0,0.4,Mil-Spec Grade
MAC-10 | Last Dive,The Spectrum Collection,0,0.52,Restricted
MAC-10 | Gold Brick,The Ancient Collection,0,0.7,Restricted
MAC-10 | Copper Borre,The Norse Collection,0,0.5,Mil-Spec Grade
MAC-10 | Aloha,The Operation Hydra Collection,0,0.65,Mil-Spec Grade
MAC-10 | Lapis Gator,The Wildfire Collection,0,0.5,Mil-Spec Grade
MAC-10 | Malachite,The Chroma Collection,0,0.5,Restricted
MAC-10 | Oceanic,The Spectrum 2 Collection,0,0.6,Mil-Spec Grade
MAC-10 | Nuclear Garden,The Cache Collection,0,0.7,Mil-Spec Grade
MAC-10 | Red Filigree,The Canals Collection,0,0.5,Restricted
MAC-10 | Silver,The Bank Collection,0,0.08,Industrial Grade
MAC-10 | Graven,The Bravo Collection,0.06,0.8,Restricted
MAC-10 | Carnivore,The Gamma Collection,0,1,Mil-Spec Grade
MAC-10 | Case Hardened,The 2021 Dust 2 Collection,0,1,Restricted
MAC-10 | Tatter,The Huntsman Collection,0,0.5,Restricted
MAC-10 | Commuter,The Baggage Collection,0,1,Industrial Grade
MAC-10 | Rangeen,The Shadow Collection,0,0.5,Mil-Spec Grade
MAC-10 | Curse,The Huntsman Collection,0,0.5,Restricted
MAC-10 | Allure,The Fracture Collection,0,1,Restricted
MAC-10 | Monkeyflage,The Recoil Collection,0,1,Mil-Spec Grade
MAC-10 | Disco Tech,The Prisma 2 Collection,0,1,Classified
MAC-10 | Neon Rider,The Chroma 2 Collection,0,0.45,Covert
MAC-10 | Ensnared,The Dreams & Nightmares Collection,0,0.9,Mil-Spec Grade
MAC-10 | Button Masher,The Snakebite Collection,0,1,Restricted
MAC-10 | Propaganda,The 2021 Train Collection,0,0.62,Classified
MAC-10 | Heat,The Phoenix Collection,0,1,Restricted
MAC-10 | Sakkaku,The Revolution Collection,0.21,0.79,Restricted
MAC-10 | Echoing Sands,The Anubis Collection,0.02,0.8,Industrial Grade
MAC-10 | Toybox,The Operation Riptide Collection,0,1,Classified
MAC-10 | Pipsqueak,The Overpass 2024 Collection,0,0.9,Mil-Spec Grade
MAC-10 | Calf Skin,The 2018 Inferno Collection,0,1,Industrial Grade
MAC-10 | Classic Crate,The CS20 Collection,0,1,Mil-Spec Grade
MAC-10 | Pipe Down,The Danger Zone Collection,0,0.9,Restricted
MAC-10 | Whitefish,The Prisma Collection,0,1,Mil-Spec Grade
MAC-10 | Hot Snakes,The Havoc Collection,0,1,Classified
MAC-10 | Stalker,The Shattered Web Collection,0,1,Covert
MAC-10 | Urban DDPAT,The Vertigo Collection,0.06,0.8,Consumer Grade
MAC-10 | Strats,The 2021 Vertigo Collection,0,0.6,Consumer Grade
MAC-10 | Snow Splash,The Achroma Collection,0,0.6,Industrial Grade
MAC-10 | Acid Hex,The Boreal Collection,0,0.58,Industrial Grade
MAC-10 | Poplar Thicket,The Boreal Collection,0,0.68,Mil-Spec Grade
MAC-10 | Light Box,The Kilowatt Collection,0,1,Mil-Spec Grade
MAC-10 | Cat Fight,The Genesis Collection,0,1,Restricted
MAC-10 | Saibā Oni,The Gallery Collection,0,0.66,Restricted
MAC-10 | Derailment,The Train 2025 Collection,0,0.7,Restricted
MAC-10 | Bronzer,The Radiant Collection,0,0.8,Consumer Grade
MAC-10 | Indigo,The Cobblestone Collection,0.06,0.8,Consumer Grade
MAC-10 | Ultraviolet,The eSports 2014 Summer Collection,0.06,0.8,Mil-Spec Grade
MAC-10 | Candy Apple,The Train Collection,0,0.3,Industrial Grade
MAC-10 | Tornado,The Militia Collection,0.06,0.8,Consumer Grade
MAC-10 | Storm Camo,The Ascent Collection,0,0.637288,Consumer Grade
MAC-10 | Sienna Damask,The 2021 Mirage Collection,0,0.6,Consumer Grade
MAC-10 | Palm,The Dust 2 Collection,0.06,0.8,Industrial Grade
MAC-10 | Surfwood,The St. Marc Collection,0,0.5,Consumer Grade
MAG-7 | Carbon Fiber,The Control Collection,0,0.12,Industrial Grade
MAG-7 | Chainmail,The Norse Collection,0,0.22,Industrial Grade
MAG-7 | Hard Water,The Operation Hydra Collection,0,0.45,Mil-Spec Grade
MAG-7 | Sonar,The Glove Collection,0,0.45,Mil-Spec Grade
MAG-7 | Navy Sheen,The 2021 Mirage Collection,0,0.55,Consumer Grade
MAG-7 | Metallic DDPAT,The Train Collection,0,0.08,Industrial Grade
MAG-7 | Silver,The Cobblestone Collection,0,0.08,Industrial Grade
MAG-7 | SWAG-7,The Clutch Collection,0,0.92,Restricted
MAG-7 | Rust Coat,The 2018 Inferno Collection,0,1,Consumer Grade
MAG-7 | Heaven Guard,The Phoenix Collection,0,0.4,Mil-Spec Grade
MAG-7 | Insomnia,The Revolution Collection,0,1,Mil-Spec Grade
MAG-7 | Monster Call,The Fracture Collection,0,1,Restricted
MAG-7 | Cobalt Core,The Shadow Collection,0,0.5,Mil-Spec Grade
MAG-7 | Foresight,The Dreams & Nightmares Collection,0,0.7,Mil-Spec Grade
MAG-7 | Heat,The Chroma 2 Collection,0,1,Restricted
MAG-7 | Petroglyph,The Gamma 2 Collection,0,0.44,Restricted
MAG-7 | BI83 Spectrum,The Operation Riptide Collection,0,0.6,Restricted
MAG-7 | Cinquedea,The Canals Collection,0,1,Classified
MAG-7 | Copper Coated,The Anubis Collection,0,1,Mil-Spec Grade
MAG-7 | Justice,The Prisma 2 Collection,0,1,Classified
MAG-7 | Popdog,The CS20 Collection,0,0.8,Mil-Spec Grade
MAG-7 | Praetorian,The Wildfire Collection,0,0.45,Restricted
MAG-7 | Counter Terrace,The Rising Sun Collection,0,0.65,Mil-Spec Grade
MAG-7 | Prism Terrace,The 2021 Vertigo Collection,0,0.37,Restricted
MAG-7 | Memento,The eSports 2013 Collection,0.02,0.18,Mil-Spec Grade
